Sample,Observation,A,Ci,Tleaf,Qin,Patm
DFA_B3_P8_110412,0+190,27.53471853,317.1516754,29.17680359,1499.38269,100.8438873
DFA_B3_P8_110412,0+191,19.08099606,226.2975446,30.55862808,1498.967041,100.8432617
DFA_B3_P8_110412,0+192,12.58209554,167.7635979,28.32952309,1499.025513,100.8457336
DFA_B3_P8_110412,0+193,2.872016794,92.66846892,28.35357285,1501.177612,100.8473206
DFA_B3_P8_110412,0+194,1.718688759,78.28857293,28.39834595,1500.835327,100.8459015
DFA_B3_P8_110412,0+195,23.89739412,332.9929799,28.61569595,1500.297485,100.8458786
DFA_B3_P8_110412,0+196,25.73606641,326.3385685,28.86954117,1500.119507,100.8469696
DFA_B3_P8_110412,0+197,31.1964971,505.1134873,28.7740593,1501.095703,100.8467789
DFA_B3_P8_110412,0+198,33.56613241,694.1537558,29.02293015,1500.282593,100.8442841
DFA_B3_P9_S7C8,0+199,23.62930638,316.8547761,29.18276787,1499.588379,100.8402252
DFA_B3_P9_S7C8,0+200,15.71344445,221.5957325,30.89548683,1498.821045,100.8426437
DFA_B3_P9_S7C8,0+201,11.83243387,162.254563,28.38180161,1500.476196,100.8443527
DFA_B3_P9_S7C8,0+202,2.49516508,89.97006981,28.87623596,1501.21936,100.8455582
DFA_B3_P9_S7C8,0+203,1.203308653,75.93672141,29.41247368,1500.341675,100.8472214
DFA_B3_P9_S7C8,0+204,21.17214327,319.95235,28.5720768,1499.858398,100.8503036
DFA_B3_P9_S7C8,0+205,21.35572606,295.7145089,29.79426765,1499.73877,100.8529663
DFA_B3_P9_S7C8,0+206,28.82072682,468.9670283,28.83861732,1500.4823,100.8540115
DFA_B3_P9_S7C8,0+207,31.40220449,637.6595559,29.39909935,1499.952881,100.8546524
DFA_B3_P11_9709,0+208,25.06972369,311.8263391,30.12213898,1498.728882,100.8433075
DFA_B3_P11_9709,0+209,21.44030517,225.3267732,30.17317581,1499.869385,100.8448868
DFA_B3_P11_9709,0+210,10.13075216,171.4514613,28.75214195,1499.676147,100.8445969
DFA_B3_P11_9709,0+211,2.020672625,93.11959338,27.64067268,1500.225586,100.8454437
DFA_B3_P11_9709,0+212,0.93756846,78.65714496,30.0063324,1499.987671,100.8400269
DFA_B3_P11_9709,0+213,24.02167748,335.0620656,28.96869469,1499.079834,100.8395844
DFA_B3_P11_9709,0+214,25.12570651,335.8615966,28.6688385,1500.57251,100.8428497
DFA_B3_P11_9709,0+215,33.0265032,506.3757428,29.01894951,1500.784302,100.8451157
DFA_B3_P11_9709,0+216,37.93986463,681.0378655,29.54489517,1500.475098,100.8510284
DFA_B3_P13_9671,0+217,23.89860051,298.6820421,30.06864548,1498.942139,100.852272
DFA_B3_P13_9671,0+218,20.1810054,220.0450756,29.56934547,1499.544189,100.8519821
DFA_B3_P13_9671,0+219,9.177086181,164.2868508,29.08603668,1500.566772,100.8510437
DFA_B3_P13_9671,0+220,2.645516371,89.87319767,28.71800232,1500.034668,100.8540192
DFA_B3_P13_9671,0+221,0.390190425,79.11825745,30.00821877,1499.112427,100.8557968
DFA_B3_P13_9671,0+222,22.23614678,300.6165153,30.00834846,1500.312744,100.8613281
DFA_B3_P13_9671,0+223,22.43433463,296.2754319,30.01335907,1500.028198,100.8634109
DFA_B3_P13_9671,0+224,30.84629267,448.4080879,30.00863266,1500.053223,100.8648758
DFA_B3_P13_9671,0+225,34.36848715,611.8300548,30.01230049,1500.744019,100.8684692
DFA_B3_P16_9709,0+226,22.65465934,320.2880054,30.11493301,1499.481689,100.8723907
DFA_B3_P16_9709,0+227,14.76558966,259.8618442,28.50601387,1499.888184,100.8727798
DFA_B3_P16_9709,0+228,9.223511796,175.04624,28.39130211,1499.352539,100.8735428
DFA_B3_P16_9709,0+229,-0.761837621,101.493688,29.90557098,1499.287598,100.8730164
DFA_B3_P16_9709,0+230,-2.563544696,88.52589004,28.86372375,1499.573975,100.8774872
DFA_B3_P16_9709,0+231,21.99006438,337.9261012,28.23813438,1499.751709,100.8835144
DFA_B3_P16_9709,0+232,22.7922446,322.8567813,29.77786827,1499.66748,100.883461
DFA_B3_P16_9709,0+233,33.31819969,514.2929048,28.10757637,1499.542603,100.8844528
DFA_B3_P16_9709,0+234,40.23435579,688.4336546,28.35515213,1499.166626,100.888504
DFA_B3_P17_8717,0+235,25.07345085,315.964529,29.34154892,1500.339478,100.8936539
DFA_B3_P17_8717,0+236,23.28099624,230.077299,29.04262924,1500.169434,100.8984985
DFA_B3_P17_8717,0+237,12.33731575,165.1983509,28.26593971,1500.937988,100.9003754
DFA_B3_P17_8717,0+238,3.644070698,89.14883992,28.4973774,1499.527344,100.9005814
